interactor_1,intaractor_2,intaraction_type
mmu-miR-466i-3p,Rnf152,2
mmu-miR-466i-3p,Htr2b,2
mmu-miR-466i-3p,Htr2b,2
mmu-miR-466i-3p,Adamts9,2
mmu-miR-466i-3p,Plag1,2
mmu-miR-466i-3p,Htr2b,2
mmu-miR-466i-3p,Htr2b,2
mmu-miR-466i-3p,Cdk12,2
mmu-miR-466i-3p,Zfp808,2
mmu-miR-466i-3p,Tns3,2
mmu-miR-466i-3p,Egr3,2
mmu-miR-466i-3p,Inpp4b,2
mmu-miR-466i-3p,B3gnt2,2
mmu-miR-486a-3p,Nat8l,1
mmu-miR-486a-3p,Nat8l,1
mmu-miR-486a-3p,Ifitm1,1
mmu-miR-486a-3p,Ifitm1,1
mmu-miR-486a-3p,Glis2,1
mmu-miR-486a-3p,Ttyh3,1
mmu-miR-486a-3p,Ccl22,1
mmu-miR-486a-3p,Fcgr4,1
mmu-miR-486a-3p,Fam102a,1
mmu-miR-486a-3p,Fam102a,1
mmu-miR-486a-3p,Adamts4,1
mmu-miR-486a-3p,Adamts4,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Dusp8,1
mmu-miR-486a-3p,Dusp8,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Bgn,1
mmu-miR-486a-3p,Bgn,1
mmu-miR-486a-3p,Flnc,1
mmu-miR-486a-3p,Flnc,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Pcsk4,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Il2rb,1
mmu-miR-486a-3p,Flnc,1
mmu-miR-486a-3p,Flnc,1
mmu-miR-486a-3p,Bgn,1
mmu-miR-486a-3p,Bgn,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Hmga1,1
mmu-miR-486a-3p,Fam102a,1
mmu-miR-486a-3p,Fam102a,1
mmu-miR-486a-3p,Adamts4,1
mmu-miR-486a-3p,Adamts4,1
mmu-miR-486a-3p,Dusp8,1
mmu-miR-486a-3p,Dusp8,1
mmu-miR-486a-3p,Nat8l,1
mmu-miR-486a-3p,Nat8l,1
mmu-miR-486a-3p,Ifitm1,1
mmu-miR-486a-3p,Ifitm1,1
mmu-miR-96-5p,Foxq1,2
mmu-miR-96-5p,Foxq1,2
mmu-miR-96-5p,Serpinb2,2
mmu-miR-96-5p,Ntn4,2
mmu-miR-96-5p,Ntn4,2
mmu-miR-96-5p,Lrrc3,2
mmu-miR-96-5p,Lrrc3,2
