Gene;symbol;log2FoldChange;padj
ENSMUSG00000020732.13;Rab37;-1.609598749;5.4188E-07
ENSMUSG00000062070.12;Pgk1;-1.610114268;7.7459E-183
ENSMUSG00000044250.8;Pced1b;-1.610981125;5.24574E-28
ENSMUSG00000020340.16;Cyfip2;-1.611835407;4.10094E-39
ENSMUSG00000062248.5;Cks2;-1.612131433;1.01407E-32
ENSMUSG00000035778.17;Ggta1;-1.612491887;4.1772E-100
ENSMUSG00000074109.4;Mrgprx2;-1.613919971;0.013597338
ENSMUSG00000037795.14;N4bp2;-1.613925994;3.04336E-55
ENSMUSG00000056458.16;Mok;-1.615734312;0.007474557
ENSMUSG00000037613.16;Tnfrsf23;-1.618404946;4.69644E-48
ENSMUSG00000031825.16;Crispld2;-1.619551237;0.004997746
ENSMUSG00000026463.17;Atp2b4;-1.620385285;4.23193E-34
ENSMUSG00000051029.8;Serpinb1b;-1.621886564;9.66942E-11
ENSMUSG00000030032.12;Wdr54;-1.625050422;8.69851E-06
ENSMUSG00000037820.15;Tgm2;-1.625205111;1.9113E-100
ENSMUSG00000022469.17;Rapgef3;-1.626211993;0.033302898
ENSMUSG00000037242.8;Clic4;-1.635604674;2.92117E-31
ENSMUSG00000020669.15;Sh3yl1;-1.636192025;1.45692E-08
ENSMUSG00000000594.7;Gm2a;-1.636576927;2.3306E-05
ENSMUSG00000038290.15;Smg6;-1.639895819;1.0732E-78
ENSMUSG00000020407.13;Upp1;-1.64222601;4.53103E-12
ENSMUSG00000022218.16;Tgm1;-1.646413654;9.62162E-39
ENSMUSG00000035126.19;Wdr78;-1.647103918;0.001678095
ENSMUSG00000026840.14;Lamc3;-1.647217353;0.009885417
ENSMUSG00000011751.16;Sptbn4;-1.647799581;0.036918988
ENSMUSG00000024339.12;Tap2;-1.651949132;2.16236E-95
ENSMUSG00000027347.18;Rasgrp1;-1.652112847;8.25759E-30
ENSMUSG00000045868.12;Gvin1;-1.65455411;2.86706E-79
ENSMUSG00000078606.8;Gm4070;-1.655976964;2.45258E-57
ENSMUSG00000030336.14;Cd27;-1.658144951;0.001473612
ENSMUSG00000042289.11;Hsd3b7;-1.658207762;3.30788E-43
ENSMUSG00000009654.4;Oit3;-1.658547003;7.60694E-11
ENSMUSG00000029186.12;Pi4k2b;-1.659242637;1.49779E-48
ENSMUSG00000024793.14;Tnfrsf25;-1.661879085;8.28379E-07
ENSMUSG00000029217.16;Tec;-1.66255183;2.68446E-38
ENSMUSG00000020258.16;Glyctk;-1.662610182;1.46408E-05
ENSMUSG00000002068.16;Ccne1;-1.662967269;1.36949E-17
ENSMUSG00000025912.16;Mybl1;-1.664414738;3.46943E-05
ENSMUSG00000019806.13;Aig1;-1.666291757;9.72545E-21
ENSMUSG00000019820.11;Utrn;-1.667623562;1.23992E-53
ENSMUSG00000050945.8;Zfp438;-1.668525028;1.98448E-18
ENSMUSG00000027030.15;Stk39;-1.66862321;3.9479E-07
ENSMUSG00000019966.18;Kitl;-1.669171146;9.9409E-19
ENSMUSG00000064246.10;Chil1;-1.67081213;0.034745485
ENSMUSG00000059142.16;Zfp945;-1.672798935;8.51858E-21
ENSMUSG00000003865.16;Gys1;-1.675239322;2.40533E-21
ENSMUSG00000005045.16;Chd5;-1.677010345;2.62306E-08
ENSMUSG00000074794.10;Arrdc3;-1.678389339;4.71547E-15
ENSMUSG00000026984.4;Il1f6;-1.679424344;0.000583518
ENSMUSG00000069769.13;Msi2;-1.681538211;2.46528E-41
ENSMUSG00000052485.7;Tmem171;-1.681574056;1.08935E-10
ENSMUSG00000029380.11;Cxcl1;-1.681964172;3.24375E-05
ENSMUSG00000029428.13;Stx2;-1.682816487;5.31737E-32
ENSMUSG00000031709.15;Tbc1d9;-1.683094102;2.14408E-64
ENSMUSG00000050824.12;Sstr5;-1.6832658;0.002426054
ENSMUSG00000062200.14;Vmn2r7;-1.685577046;0.001460212
ENSMUSG00000044734.16;Serpinb1a;-1.687643355;7.62326E-07
ENSMUSG00000050953.10;Gja1;-1.689381884;7.4614E-31
ENSMUSG00000050677.2;Ccdc96;-1.692535206;0.016007355
ENSMUSG00000018919.10;Tm4sf5;-1.692970805;0.002798022
ENSMUSG00000031239.5;Itm2a;-1.696795186;0.024820688
ENSMUSG00000028068.14;Iqgap3;-1.697263383;6.92106E-17
ENSMUSG00000016918.15;Sulf1;-1.698379575;0.004004889
ENSMUSG00000039157.12;Fam102a;-1.700940935;4.85482E-37
ENSMUSG00000031431.13;Tsc22d3;-1.703440513;2.63836E-37
ENSMUSG00000071068.7;Treml2;-1.704710656;1.6993E-12
ENSMUSG00000027340.15;Slc23a2;-1.705050875;1.30893E-40
ENSMUSG00000019846.11;Lama4;-1.706230828;0.031212728
ENSMUSG00000032666.16;1700025G04Rik;-1.719967888;7.29718E-06
ENSMUSG00000027002.13;Nckap1;-1.72127301;1.30085E-32
ENSMUSG00000032311.17;Nrg4;-1.722283809;4.38068E-17
ENSMUSG00000067235.14;H2-Q10;-1.724232026;3.3498E-22
ENSMUSG00000023919.7;Cenpq;-1.732359307;2.53587E-11
ENSMUSG00000030742.7;Lat;-1.734673628;7.15444E-06
ENSMUSG00000043613.8;Mmp3;-1.734754698;0.001929231
ENSMUSG00000104876.1;NA;-1.735044727;6.32856E-13
ENSMUSG00000036091.8;Hyal3;-1.736073948;0.003962504
ENSMUSG00000062380.4;Tubb3;-1.73639255;0.000123444
ENSMUSG00000047898.7;Ccr4;-1.743390047;4.7052E-07
ENSMUSG00000043953.12;Ccrl2;-1.744644203;6.1339E-108
ENSMUSG00000027075.16;Slc43a1;-1.750889016;0.00289667
ENSMUSG00000033107.6;Rnf125;-1.754259527;0.001580794
ENSMUSG00000034855.13;Cxcl10;-1.754618703;2.58594E-15
ENSMUSG00000050896.12;Rtn4rl2;-1.755114273;1.58682E-20
ENSMUSG00000028517.8;Plpp3;-1.759629016;5.42981E-60
ENSMUSG00000049488.14;Tmem67;-1.761943968;1.13274E-27
ENSMUSG00000025757.13;Hspa4l;-1.765276091;1.40217E-52
ENSMUSG00000022816.11;Fstl1;-1.765751653;1.59344E-15
ENSMUSG00000021367.8;Edn1;-1.766460525;1.38281E-07
ENSMUSG00000042851.17;Zc3h6;-1.76665695;4.68138E-14
ENSMUSG00000051146.2;Camk2n2;-1.766759621;2.98488E-07
ENSMUSG00000072437.4;Nanos1;-1.766856056;0.008075571
ENSMUSG00000007837.11;Prrg2;-1.767049387;5.18972E-43
ENSMUSG00000069792.5;Wfdc17;-1.768169597;8.92923E-60
ENSMUSG00000041957.15;Pkp2;-1.768493412;0.003696453
ENSMUSG00000005267.13;Zfp287;-1.773472592;1.56814E-36
ENSMUSG00000022126.6;Acod1;-1.775205087;1.24661E-34
ENSMUSG00000042744.16;Hectd4;-1.776448837;1.18673E-39
ENSMUSG00000050423.11;Ppp1r3g;-1.777548843;1.91605E-05
ENSMUSG00000043415.5;Otud1;-1.78022;1.46161E-25
ENSMUSG00000027438.14;Napb;-1.781516666;6.45738E-14
ENSMUSG00000025791.18;Pgm2;-1.783663149;1.92711E-44
ENSMUSG00000054619.7;Mettl7a1;-1.783687512;6.01157E-17
ENSMUSG00000035298.8;Klhl35;-1.784397301;0.033302898
ENSMUSG00000070336.3;Fbxo47;-1.784742031;0.003196523
ENSMUSG00000041609.16;Bicdl1;-1.786823251;3.84018E-17
ENSMUSG00000047067.7;Dusp28;-1.787480611;9.30342E-20
ENSMUSG00000029992.14;Gfpt1;-1.78828145;3.6123E-121
ENSMUSG00000045322.10;Tlr9;-1.792855045;2.37925E-09
ENSMUSG00000071454.13;Dtnb;-1.793315203;2.82157E-45
ENSMUSG00000041548.4;Hspb8;-1.794889518;0.012787653
ENSMUSG00000025759.11;Mfsd8;-1.795660307;1.89446E-37
ENSMUSG00000039982.8;Dtx4;-1.796066881;6.9838E-148
ENSMUSG00000025888.6;Casp1;-1.796241918;3.5931E-120
ENSMUSG00000053063.11;Clec12a;-1.798993379;6.94099E-83
ENSMUSG00000039196.2;Orm1;-1.800194507;0.021615669
ENSMUSG00000052605.12;Isoc2b;-1.802223703;6.10709E-10
ENSMUSG00000075602.10;Ly6a;-1.804766044;2.77841E-23
ENSMUSG00000043310.4;Olfr571;-1.805831214;1.39958E-10
ENSMUSG00000015468.14;Notch4;-1.809435593;5.97919E-13
ENSMUSG00000117789.1;NA;-1.810032984;0.026847712
ENSMUSG00000027333.18;Smox;-1.814651451;3.19184E-57
ENSMUSG00000005237.14;Dnah2;-1.815507012;6.33062E-13
ENSMUSG00000026012.2;Cd28;-1.816733854;1.45904E-05
ENSMUSG00000028207.18;Asph;-1.816928097;1.12794E-65
ENSMUSG00000018102.5;H2bc4;-1.820431052;1.87806E-26
ENSMUSG00000032093.7;Cd3e;-1.826730814;1.20896E-08
ENSMUSG00000073856.11;Iqck;-1.832040053;0.003549472
ENSMUSG00000049723.14;Mmp12;-1.835514625;1.90547E-24
ENSMUSG00000001156.9;Mxd1;-1.835618123;1.62679E-66
ENSMUSG00000024669.8;Cd5;-1.837916804;5.61013E-06
ENSMUSG00000027639.16;Samhd1;-1.8397044;1.7694E-110
ENSMUSG00000041945.12;Mfsd9;-1.839979175;4.31519E-35
ENSMUSG00000026628.13;Atf3;-1.848497263;8.68E-115
ENSMUSG00000075702.9;Selenom;-1.852501795;5.16364E-15
ENSMUSG00000016529.5;Il10;-1.855618205;1.04479E-10
ENSMUSG00000100679.1;NA;-1.860557229;0.01079937
ENSMUSG00000067212.8;H2-T23;-1.861128947;2.1767E-171
ENSMUSG00000032184.5;Lysmd2;-1.866110289;2.46308E-06
ENSMUSG00000061540.3;Orm2;-1.866659162;0.010445167
ENSMUSG00000047414.6;Flrt2;-1.873343698;3.73305E-59
ENSMUSG00000020325.10;Fstl3;-1.873975262;0.000117887
ENSMUSG00000024827.10;Gldc;-1.87507104;0.011182108
ENSMUSG00000047654.6;Tssk6;-1.879354152;0.004324557
ENSMUSG00000015980.14;Lrrc27;-1.881683814;3.25551E-09
ENSMUSG00000038295.14;Atg9b;-1.882289288;5.87665E-05
ENSMUSG00000025076.11;Casp7;-1.883610427;1.3517E-144
ENSMUSG00000038368.16;Focad;-1.883655227;8.23807E-31
ENSMUSG00000021196.14;Pfkp;-1.884703005;1.5755E-233
ENSMUSG00000022843.17;Clcn2;-1.887029965;7.1577E-06
ENSMUSG00000047557.2;Lxn;-1.887256262;1.31438E-35
ENSMUSG00000020614.13;Fam20a;-1.888600611;1.27153E-46
ENSMUSG00000033538.13;Casp4;-1.890535993;1.14424E-94
ENSMUSG00000038521.17;C1s1;-1.891182886;0.000307885
ENSMUSG00000044068.7;Zrsr1;-1.891346411;1.2081E-27
ENSMUSG00000018593.13;Sparc;-1.891396992;3.06699E-14
ENSMUSG00000026773.19;Pfkfb3;-1.893769613;4.96798E-61
ENSMUSG00000034271.16;Jdp2;-1.896224157;3.8072E-109
ENSMUSG00000028645.11;Slc2a1;-1.896317111;2.0375E-232
ENSMUSG00000047746.14;Fbxo40;-1.896414105;0.029229845
ENSMUSG00000018916.5;Csf2;-1.898157455;7.48146E-05
ENSMUSG00000059742.10;Kcnh7;-1.900225869;0.004148932
ENSMUSG00000020611.14;Gna13;-1.90069538;2.1765E-168
ENSMUSG00000037989.15;Wnk2;-1.904819943;5.10186E-32
ENSMUSG00000025006.18;Sorbs1;-1.908134591;1.69422E-08
ENSMUSG00000039004.6;Bmp6;-1.911952812;0.005799562
ENSMUSG00000037280.12;Galnt6;-1.913892536;2.406E-174
ENSMUSG00000006651.8;Aplp1;-1.91420938;1.87969E-37
ENSMUSG00000092534.8;NA;-1.916540574;0.025616112
ENSMUSG00000003955.8;Fam162a;-1.917457706;5.48595E-34
ENSMUSG00000021684.17;Pde8b;-1.919102582;9.72909E-15
ENSMUSG00000036854.14;Hspb6;-1.921173101;2.86849E-11
ENSMUSG00000079491.9;H2-T10;-1.922205238;1.21498E-30
ENSMUSG00000056116.18;H2-T22;-1.923587613;2.757E-183
ENSMUSG00000032064.17;Dixdc1;-1.9239619;0.003699191
ENSMUSG00000030281.16;Il17rc;-1.92531861;0.014312884
ENSMUSG00000050914.16;Ankrd37;-1.925641728;2.74366E-32
ENSMUSG00000024527.10;Afg3l2;-1.927504489;5.4956E-117
ENSMUSG00000063415.12;Cyp26b1;-1.927882747;2.56933E-05
ENSMUSG00000029819.6;Npy;-1.928769129;3.77787E-12
ENSMUSG00000030672.12;Mylpf;-1.929143429;1.36796E-08
ENSMUSG00000023175.15;Bsg;-1.929361612;5.1074E-99
ENSMUSG00000116165.1;Pdxp;-1.929474356;5.93781E-07
ENSMUSG00000024074.8;Crim1;-1.937462256;1.60613E-26
ENSMUSG00000055976.6;Cldn23;-1.938099027;0.00119889
ENSMUSG00000032231.14;Anxa2;-1.938223939;1.00912E-86
ENSMUSG00000042439.13;Zfp532;-1.938365586;6.70295E-25
ENSMUSG00000053007.9;Creb5;-1.938458248;1.8734E-151
ENSMUSG00000054342.8;Kcnn4;-1.93874404;1.11385E-97
ENSMUSG00000028337.14;Coro2a;-1.939437495;1.6309E-115
ENSMUSG00000090622.1;A930033H14Rik;-1.941207094;2.35492E-07
ENSMUSG00000048911.15;Rnf24;-1.941677398;3.30853E-34
ENSMUSG00000024399.5;Ltb;-1.943545656;6.75439E-13
ENSMUSG00000055639.16;Dach1;-1.944624839;1.17607E-25
ENSMUSG00000068417.8;Pnp2;-1.950567659;1.05391E-06
ENSMUSG00000034212.14;Ankmy1;-1.951162195;0.02260818
ENSMUSG00000025151.16;Maged1;-1.953891192;1.68667E-31
ENSMUSG00000024786.9;Majin;-1.957132358;1.92035E-11
ENSMUSG00000050578.10;Mmp13;-1.960228277;8.87352E-17
ENSMUSG00000004296.14;Il12b;-1.960362954;0.004518218
ENSMUSG00000032776.9;Mctp2;-1.960756398;3.33228E-08
ENSMUSG00000016206.6;H2-M3;-1.960951795;2.3386E-106
ENSMUSG00000037363.9;Letm2;-1.963617043;8.72322E-11
ENSMUSG00000032021.14;Crtam;-1.970661729;0.008223443
ENSMUSG00000003882.5;Il7r;-1.976400933;2.47737E-37
ENSMUSG00000045932.12;Ifit2;-1.976436936;1.10974E-05
ENSMUSG00000044646.15;Zbtb7c;-1.980639257;1.09705E-17
ENSMUSG00000032094.8;Cd3d;-1.983401129;2.93558E-10
ENSMUSG00000026586.16;Prrx1;-1.98650001;2.35867E-05
ENSMUSG00000027962.14;Vcam1;-1.988164967;0.008572518
ENSMUSG00000071724.5;Smpd5;-1.989912436;2.92776E-18
ENSMUSG00000005089.15;Slc1a2;-1.992250375;1.18475E-18
ENSMUSG00000063268.12;Parp10;-1.992461965;1.2007E-101
ENSMUSG00000022018.7;Rgcc;-1.992792157;4.10568E-34
ENSMUSG00000020334.6;Slc22a4;-2.000126953;5.39407E-84
ENSMUSG00000069874.7;Irgm2;-2.001667647;8.48423E-55
ENSMUSG00000060206.11;Zfp462;-2.003840656;0.003479851
ENSMUSG00000076867.2;NA;-2.012670746;0.000107517
ENSMUSG00000022900.14;Ildr1;-2.0127096;0.000806649
ENSMUSG00000028977.17;Casz1;-2.014674445;2.30275E-33
ENSMUSG00000018920.11;Cxcl16;-2.016222787;3.96149E-84
ENSMUSG00000038067.2;Csf3;-2.021472056;4.52874E-05
ENSMUSG00000045392.8;Olfr1033;-2.022736735;3.8793E-34
ENSMUSG00000020399.14;Havcr2;-2.025359651;1.45093E-17
ENSMUSG00000028494.12;Plin2;-2.027265752;2.92982E-57
ENSMUSG00000038058.14;Nod1;-2.027845344;2.30079E-26
ENSMUSG00000025069.15;Gsto2;-2.03028196;0.000114456
ENSMUSG00000090942.1;F830016B08Rik;-2.035361001;4.88143E-17
ENSMUSG00000025997.13;Ikzf2;-2.036448917;2.15631E-15
ENSMUSG00000095789.6;Nupr1l;-2.037465521;0.006104288
ENSMUSG00000057058.16;Skap1;-2.037733155;6.86822E-09
ENSMUSG00000060798.7;Intu;-2.040175671;7.807E-64
ENSMUSG00000060716.7;Plekhh1;-2.041614999;0.001507731
ENSMUSG00000025877.14;Hk3;-2.043617295;0
ENSMUSG00000021822.3;Plau;-2.043668265;8.4435E-102
ENSMUSG00000023951.17;Vegfa;-2.050421489;1.05396E-92
ENSMUSG00000107877.2;4933427D14Rik;-2.051498821;0.01491837
ENSMUSG00000026566.15;Mpzl1;-2.051866195;4.94483E-06
ENSMUSG00000022304.13;Dpys;-2.051941835;1.72829E-09
ENSMUSG00000043903.4;Zfp469;-2.053684099;9.0373E-40
ENSMUSG00000050860.6;Phospho1;-2.054643193;8.83797E-88
ENSMUSG00000025790.14;Slco3a1;-2.054711478;4.05741E-78
ENSMUSG00000026009.14;Icos;-2.055623048;2.11255E-29
ENSMUSG00000079334.8;Naa80;-2.061619469;4.06269E-55
ENSMUSG00000020135.13;Apc2;-2.068290997;0.003699299
ENSMUSG00000049232.3;Tigd2;-2.068416665;1.11763E-69
ENSMUSG00000038213.7;Tapbpl;-2.069482512;2.1059E-176
ENSMUSG00000024347.16;Psd2;-2.069712678;0.008647967
ENSMUSG00000070371.11;Prss36;-2.071214551;0.000272214
ENSMUSG00000096054.3;Syne1;-2.071824453;1.11984E-34
ENSMUSG00000029798.11;Herc6;-2.072446198;1.09612E-68
ENSMUSG00000079625.2;Tm4sf19;-2.07857154;6.31071E-24
ENSMUSG00000030717.9;Nupr1;-2.08240433;4.63761E-76
ENSMUSG00000040570.14;Rundc3b;-2.08955334;0.001431057
ENSMUSG00000027834.15;Serpini1;-2.091774793;2.702E-15
ENSMUSG00000022555.12;Dgat1;-2.093798318;7.00978E-79
ENSMUSG00000023911.12;Flywch2;-2.094804562;0.002863732
ENSMUSG00000082976.10;Gm15056;-2.097860703;3.50677E-12
ENSMUSG00000054720.12;Lrrc8c;-2.098303859;1.14475E-85
ENSMUSG00000014837.15;4931428F04Rik;-2.099441798;5.5353E-27
ENSMUSG00000078920.3;Ifi47;-2.100240145;7.83083E-66
ENSMUSG00000028496.17;Mllt3;-2.102699958;6.55629E-15
ENSMUSG00000000142.15;Axin2;-2.103491139;2.49478E-05
ENSMUSG00000047496.6;Rnf152;-2.106229993;0.035791738
ENSMUSG00000039238.6;Zfp750;-2.10901185;0.029577211
ENSMUSG00000006784.14;Ttc25;-2.113270429;0.014006697
ENSMUSG00000015619.10;Gata3;-2.11605381;5.20049E-05
ENSMUSG00000044716.12;Dok7;-2.116775513;0.00416729
ENSMUSG00000037172.14;E330009J07Rik;-2.117032637;2.81496E-73
ENSMUSG00000060550.16;H2-Q7;-2.124207851;2.46788E-97
ENSMUSG00000031927.9;1700012B09Rik;-2.124469;1.83675E-09
ENSMUSG00000109305.1;Smim38;-2.125651104;0.002423885
ENSMUSG00000063889.16;Crem;-2.126324742;4.51461E-64
ENSMUSG00000063506.14;Arhgap22;-2.133297161;1.1667E-13
ENSMUSG00000029207.16;Apbb2;-2.137193418;2.06475E-15
ENSMUSG00000048905.5;4930539E08Rik;-2.144714495;0.002484187
ENSMUSG00000075302.10;Erich2;-2.145522777;2.48015E-11
ENSMUSG00000028362.2;Tnfsf8;-2.145938246;1.22975E-15
ENSMUSG00000039232.12;Stx11;-2.15040857;4.1277E-70
ENSMUSG00000045065.7;NA;-2.15159599;4.64305E-07
ENSMUSG00000046879.7;Irgm1;-2.151840459;1.4396E-120
ENSMUSG00000031596.15;Slc7a2;-2.153838799;1.39212E-43
ENSMUSG00000026728.9;Vim;-2.156460837;6.5597E-194
ENSMUSG00000028195.4;Ccn1;-2.15873001;8.77119E-08
ENSMUSG00000049598.9;Vsig8;-2.159686044;2.24833E-10
ENSMUSG00000021280.9;Exoc3l4;-2.164086114;2.72483E-72
ENSMUSG00000031202.5;Rab39b;-2.16435928;0.010466214
ENSMUSG00000046610.15;Oacyl;-2.169760888;4.09028E-08
ENSMUSG00000032515.8;Csrnp1;-2.171049353;1.43815E-67
ENSMUSG00000015709.9;Arnt2;-2.173142687;3.80069E-06
ENSMUSG00000048376.6;F2r;-2.174036462;2.82597E-19
ENSMUSG00000078851.4;H2aw;-2.176031036;4.37263E-46
ENSMUSG00000026228.6;Htr2b;-2.176809832;0.029898475
ENSMUSG00000032060.10;Cryab;-2.17688776;6.49548E-08
ENSMUSG00000030616.16;Sytl2;-2.179255638;1.01815E-06
ENSMUSG00000053977.13;Cd8a;-2.180881389;1.70794E-11
ENSMUSG00000029530.16;Ccr9;-2.182087539;2.84362E-06
ENSMUSG00000039753.16;Fbxl5;-2.183073443;1.5334E-182
ENSMUSG00000029161.7;Cgref1;-2.183347886;5.77142E-10
ENSMUSG00000030641.10;Ddias;-2.187101144;7.15162E-10
ENSMUSG00000030708.14;Dnajb13;-2.18846344;6.81938E-07
ENSMUSG00000048012.19;Zfp473;-2.190946136;0.003118502
ENSMUSG00000033470.12;Cysltr2;-2.191706067;6.21333E-13
ENSMUSG00000023067.14;Cdkn1a;-2.191765219;6.5648E-144
ENSMUSG00000021123.12;Rdh12;-2.193720795;1.41694E-13
ENSMUSG00000042345.15;Ubash3a;-2.196970487;0.002159556
ENSMUSG00000027210.20;Meis2;-2.198388107;0.007054557
ENSMUSG00000020656.16;Grhl1;-2.205773369;1.22112E-08
ENSMUSG00000042842.11;Serpinb6b;-2.210188671;1.10254E-23
ENSMUSG00000030257.16;Srgap3;-2.218361333;7.99345E-40
ENSMUSG00000001281.10;Itgb7;-2.219360748;1.8934E-173
ENSMUSG00000045827.10;Serpinb9;-2.222487968;5.51282E-27
ENSMUSG00000028965.13;Tnfrsf9;-2.227835204;3.47807E-38
ENSMUSG00000047022.18;Mipol1;-2.228262334;1.13547E-05
ENSMUSG00000002033.14;Cd3g;-2.228582382;5.7248E-20
ENSMUSG00000055737.12;Ghr;-2.229484874;0.001607228
ENSMUSG00000016028.10;Celsr1;-2.235216816;1.11524E-06
ENSMUSG00000029314.14;Gpat3;-2.236901836;4.65793E-82
ENSMUSG00000030030.5;1700003E16Rik;-2.238834329;0.026393134
ENSMUSG00000023341.15;Mx2;-2.242036998;5.31794E-27
ENSMUSG00000023206.16;Il15ra;-2.245237208;3.2294E-42
ENSMUSG00000034205.16;Loxl2;-2.250146492;1.41961E-57
ENSMUSG00000040511.14;Pvr;-2.251821028;6.5326E-193
ENSMUSG00000000791.9;Il12rb1;-2.253175262;1.57729E-15
ENSMUSG00000027452.11;Acss1;-2.264152863;3.47636E-61
ENSMUSG00000026042.16;Col5a2;-2.265074746;9.92956E-22
ENSMUSG00000007033.4;Hspa1l;-2.270903383;2.32974E-16
ENSMUSG00000024486.6;Hbegf;-2.272261678;6.87939E-22
ENSMUSG00000078566.8;Bnip3;-2.277342979;1.52851E-37
ENSMUSG00000037649.10;H2-DMa;-2.277950746;7.1973E-112
ENSMUSG00000032359.14;Ctsh;-2.280909549;3.48786E-92
ENSMUSG00000000530.16;Acvrl1;-2.283390994;1.8382E-226
ENSMUSG00000043251.6;Exoc3l;-2.284894494;0.002653517
ENSMUSG00000033917.15;Gde1;-2.291476129;5.7784E-210
ENSMUSG00000068874.13;Selenbp1;-2.293777784;2.38509E-05
ENSMUSG00000022464.14;Slc38a4;-2.300892015;0.001922114
ENSMUSG00000031549.16;Ido2;-2.301879811;9.89933E-06
ENSMUSG00000038508.7;Gdf15;-2.303200684;7.40566E-50
ENSMUSG00000021831.9;Ero1l;-2.30831609;1.21539E-68
ENSMUSG00000034156.16;Tspoap1;-2.308844552;5.4908E-07
ENSMUSG00000028480.14;Glipr2;-2.309040931;3.5731E-114
ENSMUSG00000020077.14;Srgn;-2.312036915;7.2096E-108
ENSMUSG00000028602.12;Tnfrsf8;-2.317631981;7.89817E-52
ENSMUSG00000047415.12;Gpr68;-2.317699654;5.8434E-111
ENSMUSG00000064023.4;Klk8;-2.317999296;1.75815E-09
ENSMUSG00000042268.10;Slc26a9;-2.320384601;2.86412E-09
ENSMUSG00000044349.16;Snhg11;-2.32497342;8.17468E-17
ENSMUSG00000020395.13;Itk;-2.324986624;3.48699E-19
ENSMUSG00000019929.16;Dcn;-2.326922705;3.15712E-31
ENSMUSG00000026770.5;Il2ra;-2.336286702;2.95749E-43
ENSMUSG00000071716.5;Apol7e;-2.338365276;6.32367E-07
ENSMUSG00000048521.8;Cxcr6;-2.338581941;3.43769E-40
ENSMUSG00000029298.15;Gbp9;-2.34018301;1.5738E-113
ENSMUSG00000045502.6;Hcar2;-2.3407584;6.18154E-52
ENSMUSG00000076498.2;NA;-2.346105082;7.14524E-13
ENSMUSG00000032845.16;Alpk2;-2.352997625;0.000945511
ENSMUSG00000022528.8;Hes1;-2.353190623;1.23183E-15
ENSMUSG00000006403.13;Adamts4;-2.353283136;8.97876E-09
ENSMUSG00000029304.14;Spp1;-2.353700328;5.65281E-33
ENSMUSG00000039496.8;Cdnf;-2.362465743;2.44243E-05
ENSMUSG00000020439.17;Smtn;-2.366347229;4.51778E-32
ENSMUSG00000036117.2;Il5;-2.376037374;0.000300321
ENSMUSG00000090877.3;Hspa1b;-2.377186848;3.9068E-102
ENSMUSG00000036446.5;Lum;-2.380705112;2.23599E-07
ENSMUSG00000033174.17;Mgll;-2.385532367;0.000725272
ENSMUSG00000039431.16;Mtmr7;-2.38849054;1.15305E-80
ENSMUSG00000049526.8;Tmem202;-2.390186927;1.33357E-21
ENSMUSG00000091971.3;Hspa1a;-2.406345701;1.2514E-107
ENSMUSG00000037321.17;Tap1;-2.407206705;6.1428E-228
ENSMUSG00000035929.11;H2-Q4;-2.412840392;1.903E-210
ENSMUSG00000021466.12;Ptch1;-2.423686598;2.18136E-51
ENSMUSG00000078810.4;Gp6;-2.428870584;8.10905E-16
ENSMUSG00000031382.14;Asb11;-2.433727748;3.73948E-09
ENSMUSG00000053318.7;Slamf8;-2.435893113;2.75245E-94
ENSMUSG00000026107.11;Nabp1;-2.448859076;3.00874E-85
ENSMUSG00000054263.12;Lifr;-2.451777774;1.09507E-58
ENSMUSG00000071552.5;Tigit;-2.463172696;5.43403E-08
ENSMUSG00000036019.8;Tmtc2;-2.464419961;4.07507E-31
ENSMUSG00000048120.16;Entpd1;-2.46604671;4.8418E-150
ENSMUSG00000020641.16;Rsad2;-2.469674093;3.44546E-74
ENSMUSG00000038011.15;Dnah10;-2.475148464;0.005646376
ENSMUSG00000027399.1;Il1a;-2.480301103;1.4908E-07
ENSMUSG00000024670.17;Cd6;-2.482041951;3.41238E-19
ENSMUSG00000025887.10;Casp12;-2.491485593;7.40596E-10
ENSMUSG00000028434.12;Epb41l4b;-2.491521711;0.000377367
ENSMUSG00000034997.5;Htr2a;-2.498072202;5.52815E-08
ENSMUSG00000076928.5;NA;-2.500612167;2.44138E-14
ENSMUSG00000035109.14;Shc4;-2.503884191;9.32235E-06
ENSMUSG00000074634.12;Tmem267;-2.526681056;5.32339E-31
ENSMUSG00000025432.11;Avil;-2.527816518;0.002461921
ENSMUSG00000012889.8;Podnl1;-2.53030264;5.29014E-07
ENSMUSG00000040298.6;Btbd16;-2.53053717;0.000630737
ENSMUSG00000041153.9;Osgin2;-2.5308303;6.306E-120
ENSMUSG00000032011.5;Thy1;-2.536152125;1.08004E-43
ENSMUSG00000055675.6;Kbtbd11;-2.544850599;1.74753E-40
ENSMUSG00000026011.13;Ctla4;-2.554482617;2.39061E-23
ENSMUSG00000046711.16;Hmga1;-2.563536097;2.24839E-82
ENSMUSG00000028527.18;Ak4;-2.564711604;9.81075E-42
ENSMUSG00000079563.10;Pglyrp2;-2.566637582;1.57326E-05
ENSMUSG00000033029.12;1700088E04Rik;-2.568712369;0.00063995
ENSMUSG00000015850.11;Adamtsl4;-2.574299157;6.238E-142
ENSMUSG00000018899.16;Irf1;-2.575833326;2.8043E-181
ENSMUSG00000028927.6;Padi2;-2.582468105;4.6268E-100
ENSMUSG00000104713.4;Gbp6;-2.588010518;1.26548E-57
