Gene;symbol;log2FoldChange;padj
ENSMUSG00000053414.8;Hunk;2.671026632;9.22311E-07
ENSMUSG00000071723.7;Gspt2;2.670782687;5.68616E-06
ENSMUSG00000062345.10;Serpinb2;2.66316318;1.52511E-38
ENSMUSG00000001128.7;Cfp;2.64679439;1.9039E-194
ENSMUSG00000076749.2;NA;2.637901745;0.000322866
ENSMUSG00000042770.8;Hebp1;2.635642131;2.43447E-17
ENSMUSG00000058258.14;Idi1;2.625444586;1.3384E-89
ENSMUSG00000040964.16;Arhgef10l;2.622086311;2.17969E-82
ENSMUSG00000049119.14;Fam110b;2.621248544;0.004199749
ENSMUSG00000055612.15;Cdca7;2.620266312;1.35163E-08
ENSMUSG00000036896.5;C1qc;2.616470949;9.98398E-39
ENSMUSG00000090145.7;Ugt1a6b;2.611662344;4.41195E-26
ENSMUSG00000030541.16;Idh2;2.611623884;1.9991E-99
ENSMUSG00000004032.10;Gstm5;2.604216172;3.25839E-09
ENSMUSG00000028874.14;Fgr;2.602126687;5.83768E-64
ENSMUSG00000092035.8;Peg10;2.599753212;0.001099028
ENSMUSG00000002985.16;Apoe;2.599356771;9.4119E-297
ENSMUSG00000063430.9;Wscd2;2.598146807;0.002862048
ENSMUSG00000031788.14;Kifc3;2.595828758;2.85417E-30
ENSMUSG00000002847.7;Pla1a;2.595530806;5.87992E-10
ENSMUSG00000116069.1;NA;2.594202825;3.5189E-05
ENSMUSG00000032113.16;Chek1;2.593652257;0.000162983
ENSMUSG00000027173.7;Depdc7;2.590629625;3.19862E-15
ENSMUSG00000025461.11;Cd163l1;2.587435531;3.06651E-08
ENSMUSG00000046618.7;Olfml2a;2.586995724;0.001447295
ENSMUSG00000029915.14;Clec5a;2.586757417;8.00733E-33
ENSMUSG00000031898.9;Dpep3;2.583149853;3.24568E-06
ENSMUSG00000028621.17;Cyb5rl;2.572487936;8.01279E-12
ENSMUSG00000059743.12;Fdps;2.5666031;6.53364E-54
ENSMUSG00000048330.14;Ric3;2.563227511;0.002032109
ENSMUSG00000022610.10;Mapk12;2.554661285;0.000520172
ENSMUSG00000036377.19;C530008M17Rik;2.550934129;0.005016264
ENSMUSG00000031480.15;Thsd1;2.548738412;0.000537302
ENSMUSG00000007655.16;Cav1;2.546223874;1.25462E-31
ENSMUSG00000027435.8;Cd93;2.544316646;9.99704E-40
ENSMUSG00000091228.1;NA;2.541456378;3.65705E-10
ENSMUSG00000039126.10;Prune2;2.535745069;0.001630091
ENSMUSG00000045092.8;S1pr1;2.533905418;2.0484E-164
ENSMUSG00000055912.8;Tmem150a;2.525564565;8.12637E-18
ENSMUSG00000071042.12;Rasgrp3;2.525297191;1.39401E-14
ENSMUSG00000054951.3;9130008F23Rik;2.523115462;1.35471E-09
ENSMUSG00000070873.5;Lilra5;2.522881011;2.8914E-09
ENSMUSG00000029373.7;Pf4;2.519469351;1.60387E-78
ENSMUSG00000029510.15;Gpc2;2.518686409;1.87132E-09
ENSMUSG00000031562.15;Dctd;2.517554286;0.001149801
ENSMUSG00000035835.14;Plppr3;2.517075217;0.015515513
ENSMUSG00000040564.14;Apoc1;2.507653206;0.000494704
ENSMUSG00000020019.4;Ntn4;2.504295342;0.016691286
ENSMUSG00000037493.6;Cib2;2.500818665;3.35785E-12
ENSMUSG00000022947.8;Cbr3;2.492627823;6.28668E-45
ENSMUSG00000022667.18;Cd200r1;2.492389645;3.06084E-93
ENSMUSG00000054545.17;Ugt1a6a;2.486697672;1.47847E-55
ENSMUSG00000021423.6;Ly86;2.484601688;1.16297E-58
ENSMUSG00000030108.14;Slc6a13;2.481423232;0.000193499
ENSMUSG00000074622.4;Mafb;2.478231004;5.284E-125
ENSMUSG00000025934.15;Gsta3;2.474018619;4.47649E-55
ENSMUSG00000040522.5;Tlr8;2.473486756;4.91104E-38
ENSMUSG00000030263.13;Lrmp;2.468854976;2.34674E-56
ENSMUSG00000079429.9;Mroh2a;2.464530017;0.000327163
ENSMUSG00000055546.6;Timd4;2.462083011;3.21716E-10
ENSMUSG00000047793.13;Sned1;2.46037957;4.57709E-07
ENSMUSG00000072647.6;Adam1a;2.455800054;7.44347E-14
ENSMUSG00000031880.7;Rrad;2.452231859;2.43437E-32
ENSMUSG00000079017.3;Ifi27l2a;2.443780734;7.56636E-23
ENSMUSG00000026605.14;Cenpf;2.43724525;7.96868E-12
ENSMUSG00000075592.10;Nynrin;2.436271011;3.3601E-07
ENSMUSG00000030589.15;Rasgrp4;2.432749985;2.34247E-75
ENSMUSG00000036362.2;P2ry13;2.432107933;7.34317E-07
ENSMUSG00000070868.11;Skint3;2.421817294;6.45563E-07
ENSMUSG00000052212.6;Cd177;2.421375072;3.06514E-15
ENSMUSG00000093593.1;NA;2.420444138;0.007693635
ENSMUSG00000096630.2;Vmn2r26;2.420139953;4.66698E-23
ENSMUSG00000001120.15;Pcbp3;2.416493695;1.4079E-10
ENSMUSG00000003585.13;Sec14l2;2.412667912;0.000151202
ENSMUSG00000025574.13;Tk1;2.408659722;1.72692E-09
ENSMUSG00000102697.1;Pcdhac2;2.400391117;0.006798112
ENSMUSG00000027864.9;Ptgfrn;2.394548616;2.2198E-98
ENSMUSG00000041220.10;Elovl6;2.393814129;2.31285E-07
ENSMUSG00000034041.5;Lyl1;2.389837919;4.8571E-19
ENSMUSG00000090124.7;Ugt1a7c;2.3882822;3.0377E-126
ENSMUSG00000052516.19;Robo2;2.386207138;0.004596091
ENSMUSG00000036459.15;Wtip;2.385701641;2.56241E-14
ENSMUSG00000021720.11;Rnf180;2.384677681;6.50295E-05
ENSMUSG00000074874.10;Ctla2b;2.381581618;1.01041E-95
ENSMUSG00000037370.13;Enpp1;2.374957691;1.13124E-10
ENSMUSG00000000301.16;Pemt;2.371122999;0.002943919
ENSMUSG00000001435.15;Col18a1;2.366489218;1.71471E-53
ENSMUSG00000040204.6;Pclaf;2.361931442;1.00921E-12
ENSMUSG00000026893.4;Gca;2.361652327;1.16099E-14
ENSMUSG00000022199.12;Slc22a17;2.358173108;1.84146E-11
ENSMUSG00000089665.2;Fcor;2.35680637;6.08556E-14
ENSMUSG00000040722.7;Scamp5;2.342940211;1.14065E-34
ENSMUSG00000041431.16;Ccnb1;2.342722515;4.73381E-09
ENSMUSG00000021090.16;Lrrc9;2.338561427;0.01908528
ENSMUSG00000032946.16;Rasgrp2;2.338375281;1.83136E-39
ENSMUSG00000046546.3;Fam43a;2.338025657;1.7273E-39
ENSMUSG00000021508.11;Cxcl14;2.335188713;1.00048E-67
ENSMUSG00000017493.12;Igfbp4;2.335005932;5.67295E-20
ENSMUSG00000017754.13;Pltp;2.334402497;2.64448E-07
ENSMUSG00000027715.9;Ccna2;2.33268489;1.88773E-13
ENSMUSG00000035960.14;Apex1;2.329711858;2.53642E-31
ENSMUSG00000041688.16;Amot;2.32939025;9.71376E-06
ENSMUSG00000048329.7;Mfsd6l;2.327375183;0.000614271
